"PlayerName","Club","Position","PositionType","DoB","Age","IPOPrice","IPODate","CurrentPrice"
"Alessandro Florenzi","Roma","Goalkeeper/ Defender","Full back","11/03/1991","28","£0.17","24/11/2017","£0.46"
"Bernd Leno","Arsenal","Goalkeeper/ Defender","Goalkeeper","04/03/1992","27","£0.08","24/11/2017","£0.43"
"Fabian Schar","Newcastle United","Goalkeeper/ Defender","Centre Back","20/12/1991","27","£0.20","29/11/2017","£0.45"
"Mikhail Ignatov","Spartak Moskva","Midfield","Attacking Midfielder/ Winger","04/05/2000","19","£0.40","07/11/2018","£0.46"
"Joao Carvalho","Other","Midfield","Attacking Midfielder/ Winger","09/03/1997","22","£0.33","13/11/2018","£0.47"
"Adam Lallana","Liverpool","Midfield","Attacking Midfielder/ Winger","10/05/1988","31","£0.08","","£0.45"
"Wayne Rooney","Other","Forward","Second Striker/ Winger","24/10/1985","33","£0.08","","£0.48"
"Elseid Hysaj","Napoli","Goalkeeper/ Defender","Full back","02/02/1994","25","£0.17","02/11/2017","£0.44"
"Francesco Acerbi","Lazio","Goalkeeper/ Defender","Centre Back","10/02/1988","31","£0.42","07/11/2017","£0.45"
"Tashan Oakley-Boothe","Tottenham","Midfield","Central Midfielder","14/02/2000","19","£0.10","14/11/2017","£0.44"
"Alban Lafont","Fiorentina","Goalkeeper/ Defender","Goalkeeper","23/01/1999","20","£0.10","16/11/2017","£0.42"
"Alvaro Odriozola","Real Madrid","Goalkeeper/ Defender","Full back","14/12/1995","23","£0.20","17/11/2017","£0.46"
"Antonio Sanabria","Genoa","Forward","Centre Forward","04/03/1996","23","£0.27","20/11/2017","£0.44"
"Marten de Roon","Atalanta","Midfield","Central Midfielder","29/03/1991","28","£0.23","20/11/2017","£0.47"
"Mijat Gacinovic","Ein Frankfurt","Midfield","Attacking Midfielder/ Winger","08/02/1995","24","£0.20","22/11/2017","£0.51"
"Kasper Schmeichel","Leicester City","Goalkeeper/ Defender","Goalkeeper","05/11/1986","32","£0.08","24/11/2017","£0.42"
"Olivier Ntcham","Celtic","Midfield","Central Midfielder","09/02/1996","23","£0.17","27/11/2017","£0.47"
"Ludovic Blas","Guingamp","Midfield","Attacking Midfielder/ Winger","31/12/1997","21","£0.13","01/12/2017","£0.44"
"Sime Vrsaljko","Internazionale","Goalkeeper/ Defender","Full back","10/01/1992","27","£0.23","08/12/2017","£0.45"
"Jonjoe Kenny","Everton","Goalkeeper/ Defender","Full back","15/03/1997","22","£0.17","09/01/2018","£0.44"
"Javier Ontiveros","Malaga","Midfield","Attacking Midfielder/ Winger","09/09/1997","21","£0.13","12/01/2018","£0.48"
"Max Gradel","Toulouse","Forward","Second Striker/ Winger","30/11/1987","31","£0.23","08/02/2018","£0.44"
"Conor Coady","Wolves","Goalkeeper/ Defender","Centre Back","25/02/1993","26","£0.17","23/04/2018","£0.47"
"Aleix Garcia","Girona","Midfield","Central Midfielder","28/06/1997","22","£0.23","24/08/2018","£0.44"
"Ezequiel Avila","Huesca","Forward","Centre Forward","06/02/1994","25","£0.20","07/09/2018","£0.49"
"Filip Krovinovic","Benfica","Midfield","Attacking Midfielder/ Winger","29/08/1995","23","£0.27","17/09/2018","£0.46"
"Ridle Baku","Mainz","Midfield","Central Midfielder","08/04/1998","21","£0.30","25/09/2018","£0.43"
"Hatem Ben Arfa","Rennes","Midfield","Attacking Midfielder/ Winger","07/03/1987","32","£0.27","18/10/2018","£0.44"
"Enrico Brignola","Sassuolo","Forward","Second Striker/ Winger","08/07/1999","20","£0.33","07/01/2019","£0.45"
"Ryan Giles","Wolves","Goalkeeper/ Defender","Full back","26/01/2000","19","£0.27","09/01/2019","£0.44"
"Elvis Rexhbecaj","Wolfsburg","Midfield","Defensive Midfielder/ Wingback","01/11/1997","21","£0.33","23/01/2019","£0.42"
"Jerome Onguene","Red Bull","Goalkeeper/ Defender","Centre Back","22/12/1997","21","£0.27","28/02/2019","£0.48"
"Elliot Embleton","Other","Midfield","Central Midfielder","2/4/99","20","£0.30","28/03/2019","£0.43"
"Thibaut Courtois","Real Madrid","Goalkeeper/ Defender","Goalkeeper","11/05/1992","27","£0.08","","£0.47"
"Mario Mandzukic","Juventus","Forward","Centre Forward","21/05/1986","33","£0.08","","£0.46"
"Andy Carroll","West Ham United","Forward","Centre Forward","06/01/1989","30","£0.08","","£0.43"
"Aritz Aduriz","Ath Bilbao","Forward","Centre Forward","11/02/1981","38","£0.43","01/11/2017","£0.45"
"Gonzalo Castro","Malaga","Midfield","Attacking Midfielder/ Winger","14/09/1984","34","£0.43","01/11/2017","£0.44"
"Federico Viviani","Frosinone","Midfield","Central Midfielder","24/03/1992","27","£0.43","08/11/2017","£0.44"
"Andros Townsend","Crystal Palace","Midfield","Attacking Midfielder/ Winger","16/07/1991","28","£0.17","09/11/2017","£0.44"
"Benjamin Andre","Rennes","Midfield","Attacking Midfielder/ Winger","03/08/1990","29","£0.13","10/11/2017","£0.42"
"Hector Herrera","Porto","Midfield","Central Midfielder","19/04/1990","29","£0.17","17/11/2017","£0.43"
"Yannick Gerhardt","Wolfsburg","Goalkeeper/ Defender","Full back","13/03/1994","25","£0.17","23/11/2017","£0.39"
"Bartlomiej Dragowski","Empoli","Goalkeeper/ Defender","Goalkeeper","19/08/1997","22","£0.10","01/12/2017","£0.42"
"Jonny Castro","Wolves","Goalkeeper/ Defender","Full back","03/03/1994","25","£0.27","05/01/2018","£0.50"
"Marcus McGuane","Barcelona","Midfield","Defensive Midfielder/ Wingback","02/02/1999","20","£0.17","09/03/2018","£0.42"
"Jordan Torunarigha","Hertha","Goalkeeper/ Defender","Full back","07/08/1997","22","£0.23","17/09/2018","£0.42"
"Pape Cheikh","Lyon","Midfield","Central Midfielder","08/08/1997","22","£0.33","25/09/2018","£0.42"
"Patrick Bamford","Leeds United","Forward","Centre Forward","05/09/1993","25","£0.27","17/12/2018","£0.48"
"Cesar Azpilicueta","Chelsea","Goalkeeper/ Defender","Full back","28/08/1989","29","£0.08","","£0.46"
"Andre Gray","Watford","Forward","Centre Forward","26/06/1991","28","£0.08","","£0.39"
"Kerim Mrabti","Other","Midfield","Attacking Midfielder/ Winger","20/05/1994","25","£0.40","19/07/2019","£0.44"
"Lukasz Piszczek","Borussia Dortmund","Goalkeeper/ Defender","Full back","03/06/1985","34","£0.40","02/11/2017","£0.44"
"Asier Illarramendi","Real Sociedad","Midfield","Defensive Midfielder/ Wingback","08/03/1990","29","£0.40","07/11/2017","£0.44"
"Nacho Monreal","Arsenal","Goalkeeper/ Defender","Full back","26/02/1986","33","£0.40","07/11/2017","£0.42"
"Stephan El Shaarawy","Roma","Forward","Second Striker/ Winger","27/10/1992","26","£0.37","09/11/2017","£0.43"
"Pierre Lees-Melou","OGC Nice","Midfield","Attacking Midfielder/ Winger","25/05/1993","26","£0.37","09/11/2017","£0.43"
"Dusan Tadic","Ajax","Forward","Second Striker/ Winger","20/11/1988","30","£0.27","10/11/2017","£0.44"
"Facundo Ferreyra","Espanyol","Forward","Centre Forward","14/03/1991","28","£0.13","22/11/2017","£0.56"
"Robin Knoche","Wolfsburg","Goalkeeper/ Defender","Centre Back","22/05/1992","27","£0.17","22/11/2017","£0.44"
"Ricardo Rodriguez","AC Milan","Goalkeeper/ Defender","Full back","25/08/1992","26","£0.20","24/11/2017","£0.44"
"Josip Drmic","Borussia Mönchengladbach","Forward","Centre Forward","08/08/1992","27","£0.17","27/11/2017","£0.41"
"Nicolas Tagliafico","Ajax","Goalkeeper/ Defender","Full back","31/08/1992","26","£0.13","11/05/2018","£0.43"
"Edson Alvarez","Other","Goalkeeper/ Defender","Centre Back","24/10/1997","21","£0.10","24/05/2018","£0.43"
"Ignacio Pussetto","Udinese","Forward","Second Striker/ Winger","21/12/1995","23","£0.20","14/09/2018","£0.42"
"Marquinhos Cipriano","Shakhtar Donetsk","Forward","Attacking Midfielder/ Winger","09/02/1999","20","£0.23","17/09/2018","£0.41"
"Alfa Semedo","Espanyol","Midfield","Defensive Midfielder/ Wingback","30/08/1997","21","£0.30","16/10/2018","£0.49"
"Hans Vanaken","Club Brugge","Midfield","Attacking Midfielder/ Winger","24/08/1992","26","£0.30","16/10/2018","£0.42"
"Dru Yearwood","Other","Midfield","Central Midfielder","17/02/2000","19","£0.20","31/10/2018","£0.39"
"Rasmus Kristensen","Ajax","Goalkeeper/ Defender","Full back","11/07/1997","22","£0.33","05/12/2018","£0.42"
"Philippe Sandler","Man City","Goalkeeper/ Defender","Centre Back","10/02/1997","22","£0.30","17/12/2018","£0.47"
"Aleksa Terzic","Red Star Belgrade","Goalkeeper/ Defender","Full back","17/08/1999","20","£0.37","21/12/2018","£0.43"
"Juan Mata","Man United","Midfield","Attacking Midfielder/ Winger","28/04/1988","31","£0.08","","£0.42"
"Diego Perotti","Roma","Forward","Centre Forward","26/07/1988","31","£0.30","01/11/2017","£0.47"
"Amin Younes","Napoli","Forward","Second Striker/ Winger","06/08/1993","26","£0.20","02/11/2017","£0.42"
"Yann Sommer","Borussia Mönchengladbach","Goalkeeper/ Defender","Goalkeeper","17/12/1988","30","£0.17","02/11/2017","£0.42"
"Anthony Lopes","Lyon","Goalkeeper/ Defender","Goalkeeper","01/10/1990","28","£0.17","03/11/2017","£0.44"
"Alberto Moreno","Liverpool","Goalkeeper/ Defender","Full back","05/07/1992","27","£0.33","08/11/2017","£0.42"
"Wojciech Szczesny","Juventus","Goalkeeper/ Defender","Goalkeeper","18/04/1990","29","£0.17","14/11/2017","£0.40"
"Isaac Hayden","Newcastle United","Midfield","Central Midfielder","22/03/1995","24","£0.23","22/11/2017","£0.40"
"Andrija Zivkovic","Benfica","Forward","Second Striker/ Winger","11/07/1996","23","£0.13","27/11/2017","£0.41"
"Bruma","RB Leipzig","Midfield","Attacking Midfielder/ Winger","24/10/1994","24","£0.27","14/12/2017","£0.42"
"Jonjo Shelvey","Newcastle United","Midfield","Central Midfielder","27/02/1992","27","£0.17","14/12/2017","£0.40"
"Enis Bardhi","Levante","Midfield","Central Midfielder","02/07/1995","24","£0.17","19/01/2018","£0.49"
"Rafa Mir","Wolves","Forward","Centre Forward","18/06/1997","22","£0.10","23/04/2018","£0.40"
"Francesco Caputo","Empoli","Forward","Centre Forward","06/08/1987","32","£0.20","04/09/2018","£0.47"
"Moi Gomez","Huesca","Midfield","Attacking Midfielder/ Winger","23/06/1994","25","£0.23","07/09/2018","£0.53"
"Marcelo Saracchi","RB Leipzig","Goalkeeper/ Defender","Full back","23/04/1998","21","£0.27","13/09/2018","£0.41"
"Peru Nolaskoain","Ath Bilbao","Midfield","Central Midfielder","25/10/1998","20","£0.37","14/09/2018","£0.42"
"Soualiho Meite","Torino","Midfield","Defensive Midfielder/ Wingback","17/03/1994","25","£0.27","17/09/2018","£0.42"
"Maximilian Mittelstadt","Hertha","Goalkeeper/ Defender","Full back","18/03/1997","22","£0.20","17/09/2018","£0.42"
"Danny da Costa","Ein Frankfurt","Goalkeeper/ Defender","Full back","13/07/1993","26","£0.20","10/10/2018","£0.44"
"Maximilian Wober","Sevilla","Goalkeeper/ Defender","Centre Back","04/02/1998","21","£0.33","16/10/2018","£0.40"
"Leo Jaba","PAOK Salonika","Forward","Attacking Midfielder/ Winger","02/08/1998","21","£0.33","16/10/2018","£0.42"
"Pablo Rosario","PSV","Midfield","Central Midfielder","07/01/1997","22","£0.23","18/10/2018","£0.41"
"Shoya Nakajima","Other","Forward","Second Striker/ Winger","23/08/1994","24","£0.23","31/10/2018","£0.42"
"Fredrik Gulbrandsen","Red Bull","Forward","Centre Forward","10/09/1992","26","£0.40","17/12/2018","£0.42"
"Herbie Kane","Other","Midfield","Central Midfielder","23/11/1998","20","£0.23","06/02/2019","£0.36"
"Andy Rinomhota","Other","Midfield","Central Midfielder","21/04/1997","22","£0.20","08/02/2019","£0.43"
"Emre Can","Juventus","Midfield","Central Midfielder","12/01/1994","25","£0.08","","£0.45"
"Daniel Sturridge","Liverpool","Forward","Centre Forward","01/09/1989","29","£0.08","","£0.40"
"Marco Borriello","SPAL","Forward","Centre Forward","18/06/1982","37","£0.40","01/11/2017","£0.41"
"Kevin Gameiro","Valencia","Forward","Centre Forward","09/05/1987","32","£0.20","02/11/2017","£0.47"
"Diego Godin","Atlético Madrid","Goalkeeper/ Defender","Centre Back","16/02/1986","33","£0.33","03/11/2017","£0.41"
"Iago Falque","Torino","Forward","Second Striker/ Winger","04/01/1990","29","£0.20","03/11/2017","£0.41"
"Vincent Bessat","Caen","Midfield","Defensive Midfielder/ Wingback","08/11/1985","33","£0.40","06/11/2017","£0.41"
"Yoan Cardinale","OGC Nice","Goalkeeper/ Defender","Goalkeeper","27/03/1994","25","£0.40","06/11/2017","£0.41"
"Geoffrey Kondogbia","Valencia","Midfield","Central Midfielder","15/02/1993","26","£0.30","09/11/2017","£0.42"
"Stefan de Vrij","Internazionale","Goalkeeper/ Defender","Centre Back","05/02/1992","27","£0.20","10/11/2017","£0.46"
"Roman Burki","Borussia Dortmund","Goalkeeper/ Defender","Goalkeeper","14/11/1990","28","£0.13","10/11/2017","£0.41"
"Layvin Kurzawa","PSG","Goalkeeper/ Defender","Full back","04/09/1992","26","£0.27","14/11/2017","£0.41"
"Patrick van Aanholt","Crystal Palace","Goalkeeper/ Defender","Full back","29/08/1990","28","£0.23","16/11/2017","£0.42"
"Jay Rodriguez","West Brom","Forward","Second Striker/ Winger","29/07/1989","30","£0.23","16/11/2017","£0.40"
"Waldemar Anton","Hannover","Goalkeeper/ Defender","Centre Back","20/07/1996","23","£0.17","20/11/2017","£0.40"
"Admir Mehmedi","Wolfsburg","Midfield","Attacking Midfielder/ Winger","16/03/1991","28","£0.33","21/11/2017","£0.42"
"Mitchell Weiser","Leverkusen","Goalkeeper/ Defender","Full back","21/04/1994","25","£0.17","22/11/2017","£0.39"
"Mike Maignan","Lille","Goalkeeper/ Defender","Goalkeeper","03/07/1995","24","£0.17","22/11/2017","£0.38"
"Shane Duffy","Brighton","Goalkeeper/ Defender","Centre Back","01/01/1992","27","£0.27","23/11/2017","£0.40"
"Marco Benassi","Fiorentina","Midfield","Central Midfielder","08/09/1994","24","£0.08","24/11/2017","£0.42"
"Stanislav Lobotka","Celta","Midfield","Central Midfielder","25/11/1994","24","£0.17","27/11/2017","£0.43"
"Clement Grenier","Rennes","Midfield","Attacking Midfielder/ Winger","07/01/1991","28","£0.20","29/11/2017","£0.42"
"Jamaal Lascelles","Newcastle United","Goalkeeper/ Defender","Centre Back","11/11/1993","25","£0.23","01/12/2017","£0.40"
"Pascal Gross","Brighton","Midfield","Central Midfielder","15/06/1991","28","£0.23","07/12/2017","£0.42"
"Nathaniel Chalobah","Watford","Midfield","Defensive Midfielder/ Wingback","12/12/1994","24","£0.17","21/12/2017","£0.39"
"Adama Traore","AS Monaco","Midfield","Central Midfielder","28/06/1995","24","£0.33","04/01/2018","£0.43"
"Sam Surridge","Bournemouth","Forward","Centre Forward","28/07/1998","21","£0.10","09/01/2018","£0.40"
"Kazaiah Sterling","Tottenham","Forward","Centre Forward","09/11/1998","20","£0.17","25/01/2018","£0.44"
"Sehrou Guirassy","Amiens","Forward","Centre Forward","12/03/1996","23","£0.17","02/02/2018","£0.43"
"Bouna Sarr","Marseille","Goalkeeper/ Defender","Full back","31/01/1992","27","£0.17","19/02/2018","£0.38"
"Willy Boly","Wolves","Goalkeeper/ Defender","Centre Back","03/02/1991","28","£0.20","21/02/2018","£0.44"
"Jurgen Locadia","Brighton","Forward","Centre Forward","07/11/1993","25","£0.27","22/02/2018","£0.41"
"Landry Dimata","Anderlecht","Forward","Centre Forward","01/09/1997","21","£0.13","23/02/2018","£0.41"
"Lys Mousset","Bournemouth","Forward","Second Striker/ Winger","08/02/1996","23","£0.17","06/03/2018","£0.40"
"Jordan Siebatcheu","Rennes","Forward","Centre Forward","26/04/1996","23","£0.20","13/09/2018","£0.46"
"Sergi Palencia","Bordeaux","Goalkeeper/ Defender","Full back","23/03/1996","23","£0.33","19/09/2018","£0.40"
"Otavio","Porto","Midfield","Attacking Midfielder/ Winger","09/02/1995","24","£0.40","21/09/2018","£0.41"
"Takumi Minamino","Red Bull","Forward","Centre Forward","16/01/1995","24","£0.27","24/10/2018","£0.44"
"Marco Varnier","Atalanta","Goalkeeper/ Defender","Centre Back","08/06/1998","21","£0.20","31/10/2018","£0.39"
"Mohammed Dauda","Anderlecht","Forward","Second Striker/ Winger","20/02/1998","21","£0.40","30/11/2018","£0.41"
"Oriol Busquets","Barcelona","Midfield","Defensive Midfielder/ Wingback","20/01/1999","20","£0.27","11/02/2019","£0.40"
"Arber Zeneli","Reims","Forward","Second Striker/ Winger","25/02/1995","24","£0.23","28/02/2019","£0.42"
"Luka Modrić","Real Madrid","Midfield","Central Midfielder","09/09/1985","33","£0.08","","£0.41"
"Tim Krul","Norwich","Goalkeeper/ Defender","Goalkeeper","03/04/1988","31","£0.40","08/08/2019","£0.42"
"Kevin Vogt","Hoffenheim","Goalkeeper/ Defender","Centre Back","23/09/1991","27","£0.37","06/11/2017","£0.40"
"Jonas Hector","FC Koln","Goalkeeper/ Defender","Full back","27/05/1990","29","£0.33","07/11/2017","£0.40"
"Mattia Caldara","AC Milan","Goalkeeper/ Defender","Centre Back","05/05/1994","25","£0.20","10/11/2017","£0.39"
"Diego Carlos","Nantes","Goalkeeper/ Defender","Centre Back","15/03/1993","26","£0.17","10/11/2017","£0.41"
"Marko Arnautovic","West Ham United","Forward","Second Striker/ Winger","19/04/1989","30","£0.30","15/11/2017","£0.41"
"Igor Zubeldia","Real Sociedad","Midfield","Central Midfielder","30/03/1997","22","£0.17","21/11/2017","£0.42"
"Mark Uth","Schalke","Forward","Centre Forward","24/08/1991","27","£0.33","22/11/2017","£0.40"
"Alessandro Murgia","SPAL","Midfield","Central Midfielder","09/08/1996","23","£0.17","22/11/2017","£0.40"
"Roberto Inglese","Parma","Forward","Centre Forward","12/11/1991","27","£0.20","23/11/2017","£0.40"
"Lucas Vazquez","Real Madrid","Midfield","Attacking Midfielder/ Winger","01/07/1991","28","£0.17","24/11/2017","£0.47"
"Timothy Fosu-Mensah","Fulham","Goalkeeper/ Defender","Centre Back","02/01/1998","21","£0.08","24/11/2017","£0.41"
"Quincy Promes","Sevilla","Forward","Second Striker/ Winger","04/01/1992","27","£0.17","30/11/2017","£0.40"
"Sami Khedira","Juventus","Midfield","Central Midfielder","04/04/1987","32","£0.33","04/12/2017","£0.40"
"Levin Oztunali","Mainz","Midfield","Attacking Midfielder/ Winger","15/03/1996","23","£0.20","14/12/2017","£0.39"
"Enes Unal","Real Valladolid","Forward","Centre Forward","10/05/1997","22","£0.17","19/12/2017","£0.46"
"Ruben Aguilar","Montpellier","Goalkeeper/ Defender","Full back","26/04/1993","26","£0.23","19/01/2018","£0.36"
"Stephane Bahoken","Angers","Forward","Centre Forward","28/05/1992","27","£0.13","26/01/2018","£0.41"
"David Otto","Hoffenheim","Forward","Centre Forward","03/03/1999","20","£0.13","30/01/2018","£0.40"
"Moussa Marega","Porto","Forward","Centre Forward","14/04/1991","28","£0.17","14/02/2018","£0.38"
"Jonathan Silva","Leganes","Goalkeeper/ Defender","Full back","29/06/1994","25","£0.13","14/03/2018","£0.42"
"Matt Targett","Southampton","Goalkeeper/ Defender","Full back","18/09/1995","23","£0.17","12/06/2018","£0.40"
"Santiago Caseres","Villarreal","Midfield","Defensive Midfielder/ Wingback","25/02/1997","22","£0.30","14/09/2018","£0.40"
"Ethan Hamilton","Man United","Midfield","Central Midfielder","18/10/1998","20","£0.20","14/09/2018","£0.40"
"Tiemoue Bakayoko","AC Milan","Midfield","Defensive Midfielder/ Wingback","17/08/1994","25","£0.08","","£0.42"
"Michail Antonio","West Ham United","Midfield","Attacking Midfielder/ Winger","28/03/1990","29","£0.08","","£0.38"
"Dalbert","Internazionale","Goalkeeper/ Defender","Full back","08/09/1993","25","£0.17","02/11/2017","£0.41"
"Bastian Oczipka","Schalke","Goalkeeper/ Defender","Full back","12/01/1989","30","£0.37","06/11/2017","£0.39"
"Mapou Yanga-Mbiwa","Lyon","Goalkeeper/ Defender","Centre Back","15/05/1989","30","£0.37","06/11/2017","£0.39"
"Charlie Austin","Southampton","Forward","Centre Forward","05/07/1989","30","£0.33","08/11/2017","£0.39"
"Kevin Kampl","RB Leipzig","Midfield","Central Midfielder","09/10/1990","28","£0.27","09/11/2017","£0.42"
"Kwadwo Asamoah","Internazionale","Goalkeeper/ Defender","Full back","09/12/1988","30","£0.17","10/11/2017","£0.38"
"Stefan Posch","Hoffenheim","Goalkeeper/ Defender","Centre Back","14/05/1997","22","£0.30","13/11/2017","£0.39"
"Simone Zaza","Torino","Forward","Second Striker/ Winger","25/06/1991","28","£0.27","15/11/2017","£0.42"
"Jonathan Calleri","Alaves","Forward","Centre Forward","23/09/1993","25","£0.23","20/11/2017","£0.38"
"Jasper Cillessen","Barcelona","Goalkeeper/ Defender","Goalkeeper","22/04/1989","30","£0.17","20/11/2017","£0.38"
"Jordon Ibe","Bournemouth","Midfield","Attacking Midfielder/ Winger","08/12/1995","23","£0.23","21/11/2017","£0.38"
"Wesley Said","Dijon","Forward","Centre Forward","19/04/1995","24","£0.17","21/11/2017","£0.40"
"Emre Mor","Celta","Forward","Second Striker/ Winger","24/07/1997","22","£0.12","24/11/2017","£0.35"
"Gregoire Defrel","Sampdoria","Forward","Second Striker/ Winger","17/06/1991","28","£0.17","27/11/2017","£0.41"
"Alex Berenguer","Torino","Forward","Second Striker/ Winger","04/07/1995","24","£0.17","27/11/2017","£0.41"
"Yacine Brahimi","Porto","Midfield","Attacking Midfielder/ Winger","08/02/1990","29","£0.27","13/12/2017","£0.39"
"Mason Holgate","Everton","Goalkeeper/ Defender","Centre Back","22/10/1996","22","£0.20","13/12/2017","£0.41"
"Walter Benitez","OGC Nice","Goalkeeper/ Defender","Goalkeeper","19/03/1993","26","£0.13","21/12/2017","£0.38"
"Luiz Felipe","Lazio","Goalkeeper/ Defender","Centre Back","22/03/1997","22","£0.17","03/01/2018","£0.38"
"Santiago Ascacibar","Stuttgart","Midfield","Defensive Midfielder/ Wingback","25/02/1997","22","£0.20","19/01/2018","£0.38"
"Aymen Barkok","Fortuna Düsseldorf","Midfield","Central Midfielder","21/05/1998","21","£0.17","22/01/2018","£0.34"
"Djene Dakonam","Getafe","Goalkeeper/ Defender","Full back","31/12/1991","27","£0.17","24/01/2018","£0.37"
"Nuno Da Costa","Strasbourg","Forward","Centre Forward","10/02/1991","28","£0.20","29/01/2018","£0.37"
"Inigo Cordoba","Ath Bilbao","Midfield","Attacking Midfielder/ Winger","13/03/1997","22","£0.23","12/02/2018","£0.39"
"Luke Amos","Tottenham","Midfield","Central Midfielder","23/02/1997","22","£0.27","12/09/2018","£0.37"
"Ben Wilmot","Udinese","Goalkeeper/ Defender","Centre Back","04/11/1999","19","£0.23","14/09/2018","£0.39"
"Kemar Roofe","Leeds United","Midfield","Attacking Midfielder/ Winger","06/01/1993","26","£0.23","18/10/2018","£0.39"
"Marin Pongracic","Red Bull","Goalkeeper/ Defender","Centre Back","11/09/1997","21","£0.27","26/10/2018","£0.39"
"Stuart Armstrong","Southampton","Midfield","Central Midfielder","30/03/1992","27","£0.33","30/11/2018","£0.39"
"Valery Fernandez","Girona","Midfield","Attacking Midfielder/ Winger","23/11/1999","19","£0.27","16/01/2019","£0.39"
"Nicolas Cozza","Montpellier","Goalkeeper/ Defender","Full back","08/01/1999","20","£0.23","23/01/2019","£0.37"
"Mbwana Aly Samatta","KRC Genk","Forward","Centre Forward","13/12/1992","26","£0.23","11/02/2019","£0.39"
"Christian Benteke","Crystal Palace","Forward","Centre Forward","03/12/1990","28","£0.08","","£0.39"
"Yassine Benzia","Fenerbahçe","Forward","Centre Forward","08/09/1994","24","£0.37","01/11/2017","£0.38"
"Younousse Sankhare","Bordeaux","Midfield","Central Midfielder","10/09/1989","29","£0.37","06/11/2017","£0.38"
"Carlos Vela","Other","Forward","Second Striker/ Winger","01/03/1989","30","£0.37","06/11/2017","£0.38"
"Maya Yoshida","Southampton","Goalkeeper/ Defender","Centre Back","24/08/1988","30","£0.37","06/11/2017","£0.38"
"Felipe Dal Bello","SPAL","Goalkeeper/ Defender","Centre Back","31/07/1984","35","£0.37","06/11/2017","£0.38"
"Matteo Darmian","Man United","Goalkeeper/ Defender","Full back","02/12/1989","29","£0.33","06/11/2017","£0.38"
"Lucas Biglia","AC Milan","Midfield","Central Midfielder","30/01/1986","33","£0.37","07/11/2017","£0.38"
"Samir Nasri","West Ham United","Midfield","Attacking Midfielder/ Winger","26/06/1987","32","£0.30","07/11/2017","£0.38"
"Niklas Stark","Hertha","Goalkeeper/ Defender","Centre Back","14/04/1995","24","£0.13","15/11/2017","£0.39"
"Samuel Shashoua","Tottenham","Forward","Second Striker/ Winger","13/05/1999","20","£0.10","15/11/2017","£0.34"
"Cristiano Biraghi","Fiorentina","Goalkeeper/ Defender","Full back","01/09/1992","26","£0.17","16/11/2017","£0.46"
"Leonardo Spinazzola","Juventus","Goalkeeper/ Defender","Full back","25/03/1993","26","£0.17","16/11/2017","£0.40"
"Nick Pope","Burnley","Goalkeeper/ Defender","Goalkeeper","19/04/1992","27","£0.13","17/11/2017","£0.36"
"Ramy Bensebaini","Rennes","Goalkeeper/ Defender","Centre Back","16/04/1995","24","£0.23","21/11/2017","£0.40"
"Michael Gregoritsch","Augsburg","Midfield","Attacking Midfielder/ Winger","18/04/1994","25","£0.17","23/11/2017","£0.48"
"Solly March","Brighton","Midfield","Attacking Midfielder/ Winger","20/07/1994","25","£0.20","23/11/2017","£0.38"
"Lucas Perez","West Ham United","Forward","Centre Forward","10/09/1988","30","£0.20","29/11/2017","£0.34"
"Nicolas Schiappacase","Parma","Forward","Second Striker/ Winger","12/01/1999","20","£0.13","14/12/2017","£0.37"
"Charly Musonda","Chelsea","Midfield","Attacking Midfielder/ Winger","15/10/1996","22","£0.17","20/12/2017","£0.36"
"Orel Mangala","Stuttgart","Midfield","Central Midfielder","18/03/1998","21","£0.13","22/12/2017","£0.39"
"Thiago Maia","Lille","Midfield","Central Midfielder","23/03/1997","22","£0.13","04/01/2018","£0.36"
"Adalberto Penaranda","Watford","Forward","Centre Forward","31/05/1997","22","£0.17","05/01/2018","£0.40"
"Kwon Chang-Hoon","Dijon","Midfield","Attacking Midfielder/ Winger","30/06/1994","25","£0.13","26/01/2018","£0.35"
"Salih Ozcan","FC Koln","Midfield","Attacking Midfielder/ Winger","11/01/1998","21","£0.20","29/01/2018","£0.35"
"Felix Uduokhai","Wolfsburg","Goalkeeper/ Defender","Centre Back","09/09/1997","21","£0.20","05/02/2018","£0.36"
"Roger Marti","Levante","Forward","Centre Forward","03/01/1991","28","£0.17","04/05/2018","£0.40"
"Miguel Trauco","Flamengo","Goalkeeper/ Defender","Full back","25/08/1992","26","£0.10","22/05/2018","£0.38"
"Konstantinos Mavropanos","Arsenal","Goalkeeper/ Defender","Centre Back","11/12/1997","21","£0.20","12/06/2018","£0.38"
"Ryan Fredericks","West Ham United","Goalkeeper/ Defender","Full back","10/10/1992","26","£0.17","12/06/2018","£0.38"
"Marcelo Guedes","Lyon","Goalkeeper/ Defender","Centre Back","20/05/1987","32","£0.30","04/01/2019","£0.38"
"John Fleck","Other","Midfield","Central Midfielder","24/08/1991","27","£0.20","08/03/2019","£0.36"
"Radja Nainggolan","Internazionale","Midfield","Central Midfielder","04/05/1988","31","£0.08","","£0.42"
"Jasmin Kurtic","SPAL","Midfield","Central Midfielder","10/01/1989","30","£0.30","01/11/2017","£0.40"
"Nicolas de Preville","Bordeaux","Forward","Second Striker/ Winger","08/01/1991","28","£0.27","02/11/2017","£0.37"
"Andrea Conti","AC Milan","Goalkeeper/ Defender","Full back","02/03/1994","25","£0.17","03/11/2017","£0.38"
